FID,HUC10,spcode,SUM_Shape_
167,0105000405,E07L,0.015977904
168,0105000406,E07L,0.055124451
169,0105000407,E07L,0.027113177
170,0105000409,E07L,0.031947988
171,0106000102,E07L,0.047727243
172,0106000106,E07L,0.119653346
173,0109000201,A02R,0.067823213
174,0109000201,C021,0.067823213
175,0109000202,A02R,0.110910327
176,0109000203,C021,0.060023534
177,0205030616,E003,0.04652752
178,0205030617,E003,0.113749745
179,0206000302,E003,0.024617732
180,0207000103,A080,0.090848047
181,0207000104,A080,0.028274328
182,0302010502,B079,0.187812288
183,0302010503,B079,0.174401196
184,0302010504,B079,0.046893331
185,0302020409,B079,0.058127558
186,0302030103,B079,0.045648441
187,0302030103,C00U,0.045648441
188,0302030105,B079,0.017528437
189,0302030107,B079,0.045756128
190,0302030107,C00U,0.045756128
191,0302030203,C00U,0.037245886
192,0302030204,B079,0.029216578
193,0302030204,C00U,0.029216578
194,0302030205,B079,0.053970075
195,0302030205,C00U,0.053970075
196,0303000304,E01N,0.077783477
197,0303000305,E01N,0.06287634
198,0303000306,E01N,0.057752731
199,0303000507,C00U,0.022590427
200,0303000508,B079,0.034916839
201,0303000508,C00U,0.034916839
202,0303000706,Q3HD,0.09613788
203,0303000708,Q3HD,0.072987731
204,0304010507,F02L,0.067522377
205,0304020201,F02L,0.04397709
206,0304020203,F02L,0.057843867
207,0304020603,E01P,0.051466156
208,0304020702,B079,0.101718245
209,0304020702,C00U,0.101718245
210,0304020801,B079,0.045129645
211,0304020801,C00U,0.045129645
212,0304020802,B079,0.029365383
213,0304020802,C00U,0.029365383
214,0304020803,B079,0.07556984
215,0304020804,B079,0.02070032
216,0304020804,C00U,0.02070032
217,0305010103,J014,0.03092545
218,0305010103,Q2U5,0.03092545
219,0305010104,Q2U5,0.022554121
220,0305010105,J014,0.054146867
221,0305010303,F02L,0.04167557
222,0305010306,F02L,0.065933591
223,0305011203,B079,0.043269234
224,0305011203,C00U,0.043269234
225,0305011203,D013,0.043269234
226,0305011204,B079,0.037275829
227,0305011204,C00U,0.037275829
228,0305020103,D013,0.046576975
229,0305020104,D013,0.028288483
230,0305020107,C00U,0.089855889
231,0305020107,D013,0.089855889
232,0305020202,B079,0.055611583
233,0305020202,C00U,0.055611583
234,0305020603,B079,0.080002504
235,0305020603,C00U,0.080002504
236,0305020604,B079,0.048352755
237,0305020604,C00U,0.048352755
238,0305020710,B079,0.031497781
239,0305020710,C00U,0.031497781
240,0305020711,B079,0.051306495
241,0305020711,C00U,0.051306495
242,0305020805,C00U,0.021963628
243,0305020806,C00U,0.103940606
244,0305020901,B079,0.032520559
245,0305020901,C00U,0.032520559
246,0305020902,B079,0.084191375
247,0305020902,C00U,0.084191375
248,0305021001,B079,0.046003086
249,0305021001,C00U,0.046003086
250,0306010701,F02L,0.062700315
251,0306010702,F02L,0.072271614
252,0306010903,B079,0.117819644
253,0306010903,D013,0.117819644
254,0306011002,D013,0.025926469
255,0306011003,B079,0.048668336
256,0306020401,B079,0.034421531
257,0306020401,C00U,0.034421531
258,0306020403,B079,0.060027513
259,0306020403,C00U,0.060027513
260,0306020405,B079,0.064619603
261,0306020405,C00U,0.064619603
262,0306020407,B079,0.051943837
263,0306020407,C00U,0.051943837
264,0306020408,B079,0.031503579
265,0306020408,C00U,0.031503579
266,0307010408,F026,0.102776567
267,0307010504,F026,0.056660387
268,0307010601,F026,0.065694711
269,0307010602,F026,0.047480534
270,0307010603,F026,0.079946594
271,0307010604,F026,0.120430214
272,0307010605,A02R,0.192945727
273,0307010605,B079,0.096472863
274,0307010705,F026,0.064541658
275,0307020302,A02R,0.055281715
276,0307020302,B079,0.055281715
277,0307020304,A02R,0.049138313
278,0307020304,B079,0.049138313
279,0307020304,C00U,0.049138313
280,0307020305,A007,0.04572307
281,0307020305,A02R,0.04572307
282,0307020305,B079,0.04572307
283,0307020305,C00U,0.04572307
284,0307020401,D013,0.045443193
285,0307020402,D013,0.018839157
286,0307020409,A007,0.075705285
287,0307020409,A02R,0.075705285
288,0307020409,B079,0.075705285
289,0307020503,A02R,0.039159225
290,0307020503,B079,0.039159225
291,0308010101,B00F,0.042680791
292,0308010104,A007,0.068932331
293,0308010106,A007,0.034951692
294,0308010107,A007,0.056067427
295,0308010108,A007,0.049529384
296,0308010109,A007,0.058143068
297,0308010111,A007,0.034656936
298,0308010112,A007,0.067035455
299,0308010113,A007,0.035975603
300,0308010116,A007,0.059402511
301,0308010117,A007,0.026499509
302,0308010120,A007,0.027199895
303,0308010121,A007,0.033294442
304,0308010214,A007,0.065300683
305,0308010304,A007,0.03335389
306,0308010306,A007,0.042756272
307,0308010307,A007,0.040765043
308,0308010308,A007,0.037055842
309,0308010310,A007,0.049805794
310,0308010311,A007,0.021439925
311,0308010312,A007,0.045470578
312,0308010313,A007,0.044100831
313,0308010314,A007,0.039181624
314,0308010315,A007,0.033950231
315,0308010316,A007,0.057776549
316,0308010316,A02R,0.057776549
317,0308010316,B079,0.057776549
318,0308020101,A02R,0.032684542
319,0308020101,B079,0.032684542
320,0308020103,A02R,0.033360721
321,0308020105,A02R,0.026531021
322,0308020106,A02R,0.021144601
323,0308020201,A007,0.029045156
324,0308020202,A007,0.042296385
325,0308020202,A02R,0.042296385
326,0308020202,C00U,0.042296385
327,0308020203,A007,0.068376236
328,0308020204,A007,0.02960983
329,0308020204,A02R,0.02960983
330,0308020204,B079,0.02960983
331,0308020204,C00U,0.02960983
332,0308020301,B00F,0.037907477
333,0308020302,A007,0.027337536
334,0308020302,Q3AL,0.027337536
335,0308020303,A007,0.050145945
336,0308020303,C00U,0.050145945
337,0308020303,Q3AL,0.050145945
338,0309010121,B00F,0.024744193
339,0309010302,B00F,0.059782062
340,0309010303,B00F,0.054592181
341,0309020102,B00F,0.163916375
342,0309020201,B00F,0.049094371
343,0309020202,B00F,0.101004782
344,0309020205,B00F,0.055141821
345,0309020206,B00F,0.049446803
346,0309020209,B00F,0.0262481
347,0309020211,B00F,0.17957848
348,0309020212,B00F,0.037326609
349,0309020213,A007,0.205812199
350,0309020213,B00F,0.205812199
351,0309020213,B00Q,0.205812199
352,0309020213,C02J,0.205812199
353,0309020213,I07G,0.205812199
354,0309020213,I087,0.205812199
355,0309020214,A007,0.122859378
356,0309020214,C00U,0.122859378
357,0309020214,C02J,0.122859378
358,0309020214,Q3HJ,0.122859378
359,0309020301,B079,0.085302124
360,0309020301,C02J,0.085302124
361,0309020301,Q3HJ,0.085302124
362,0309020302,A007,0.075033854
363,0309020302,B079,0.075033854
364,0309020302,C00U,0.075033854
365,0309020302,C02J,0.075033854
366,0309020302,P000,0.075033854
367,0309020302,P001,0.075033854
368,0309020302,Q3HJ,0.075033854
369,0309020303,A083,0.08371303
370,0309020303,B079,0.08371303
371,0309020303,C00U,0.08371303
372,0309020303,I07G,0.08371303
373,0309020303,I087,0.08371303
374,0309020303,P000,0.08371303
375,0309020303,P001,0.08371303
376,0309020303,Q3HJ,0.08371303
377,0309020401,A007,0.069835736
378,0309020401,B079,0.069835736
379,0309020401,C00U,0.069835736
380,0309020402,A007,0.049147376
381,0309020402,C00U,0.049147376
382,0309020404,A007,0.0453073
383,0309020405,A007,0.031008816
384,0309020405,C00U,0.031008816
385,0309020406,A007,0.026432324
386,0309020407,A007,0.022733324
387,0309020408,A007,0.034255052
388,0309020408,B079,0.034255052
389,0309020408,C00U,0.034255052
390,0309020409,A007,0.069297678
391,0309020410,A007,0.223377145
392,0309020410,B00F,0.223377145
393,0309020411,A007,0.048521149
394,0309020501,B00F,0.021118865
395,0309020506,A007,0.0768708
396,0309020602,A007,0.03965453
397,0309020605,A007,0.048017469
398,0309020605,B079,0.048017469
399,0309020605,C00U,0.048017469
400,0309020605,Q3AL,0.048017469
401,0309020606,A007,0.039970036
402,0309020606,C00U,0.039970036
403,0309020606,Q3AL,0.039970036
404,0309020608,A007,0.028883933
405,0309020608,C00U,0.028883933
406,0309020608,Q3AL,0.028883933
407,0309020609,A007,0.03210823
408,0309020609,B00F,0.03210823
409,0309020610,A007,0.017755476
410,0309020610,B00F,0.017755476
411,0309020611,B00F,0.035464208
412,0309020612,B00F,0.058489974
413,0309020613,C00U,0.022140677
414,0309020613,P000,0.022140677
415,0309020613,P001,0.022140677
416,0309020613,Q3AL,0.022140677
417,0309020614,A007,0.068580846
418,0309020614,P000,0.068580846
419,0309020614,P001,0.068580846
420,0309020614,Q3AL,0.068580846
421,0309020615,A007,0.03543142
422,0309020615,Q09E,0.03543142
423,0309020615,Q14I,0.03543142
424,0309020616,A007,0.088176747
425,0309020616,B00Q,0.088176747
426,0309020616,C02J,0.088176747
427,0309020616,I07G,0.088176747
428,0309020616,I087,0.088176747
429,0309020616,Q09E,0.088176747
430,0309020616,Q14I,0.088176747
431,0309020616,Q3HJ,0.088176747
432,0309020617,A007,0.073280309
433,0309020617,C02J,0.073280309
434,0309020617,P000,0.073280309
435,0309020617,P001,0.073280309
436,0309020617,Q09E,0.073280309
437,0309020617,Q14I,0.073280309
438,0309020617,Q3AL,0.073280309
439,0309020617,Q3HJ,0.073280309
440,0310010108,A007,0.057206249
441,0310010109,A007,0.064981194
442,0310010111,A007,0.067278578
443,0310010203,A007,0.026154529
444,0310010204,A007,0.021908699
445,0310010205,A007,0.036600642
446,0310010301,A007,0.051523857
447,0310010302,A007,0.043891318
448,0310010302,C00U,0.043891318
449,0310010303,A007,0.047034436
450,0310010303,B079,0.047034436
451,0310010303,C00U,0.047034436
452,0310020101,A007,0.024174629
453,0310020101,C00U,0.024174629
454,0310020102,A007,0.049468352
455,0310020102,C00U,0.049468352
456,0310020103,C00U,0.020438791
457,0310020201,A007,0.051176879
458,0310020202,A007,0.0352045
459,0310020301,A007,0.037028817
460,0310020302,A007,0.016761661
461,0310020605,A007,0.014656683
462,0310020607,A007,0.078558121
463,0310020607,B079,0.078558121
464,0310020701,A007,0.053503365
465,0310020705,B079,0.066323818
466,0311010105,E04W,0.0488893
467,0311010205,B079,0.067486311
468,0311010209,E04W,0.084236439
469,0311020107,E04W,0.052377892
470,0311020108,E04W,0.038848921
471,0311020109,E04W,0.046906508
472,0311020309,E04W,0.079741208
473,0311020501,E04W,0.052668403
474,0311020502,E04W,0.031337972
475,0311020503,E04W,0.058470256
476,0311020504,E04W,0.065413244
477,0311020505,E04W,0.035519316
478,0311020506,E04W,0.05084185
479,0311020507,E04W,0.041967516
480,0311020508,E04W,0.092048431
481,0311020601,F02S,0.047716116
482,0311020602,F02S,0.065640232
483,0311020603,F02S,0.024495424
484,0311020604,F02S,0.056240712
485,0311020605,F02S,0.052060921
486,0312000110,D013,0.028251084
487,0312000111,D013,0.024701824
488,0312000203,F02E,0.025155646
489,0312000203,F02S,0.025155646
490,0312000203,F02Y,0.025155646
491,0312000203,F03N,0.025155646
492,0312000204,F02E,0.040590232
493,0312000204,F02S,0.040590232
494,0312000204,F02Y,0.040590232
495,0312000204,F03N,0.040590232
496,0312000205,F02E,0.029148757
497,0312000205,F02S,0.029148757
498,0312000205,F02Y,0.029148757
499,0312000205,F03N,0.029148757
500,0312000206,F02E,0.015391211
501,0312000206,F02S,0.015391211
502,0312000206,F02Y,0.015391211
503,0312000206,F03N,0.015391211
504,0312000207,F02E,0.036071596
505,0312000207,F02S,0.036071596
506,0312000207,F02Y,0.036071596
507,0312000207,F03N,0.036071596
508,0312000208,F02E,0.021388769
509,0312000208,F02S,0.021388769
510,0312000208,F02Y,0.021388769
511,0312000208,F03N,0.021388769
512,0312000301,F02E,0.0517888
513,0312000301,F02S,0.0517888
514,0312000301,F02Y,0.0517888
515,0312000301,F03N,0.0517888
516,0312000303,F02E,0.021629738
517,0312000303,F02S,0.021629738
518,0312000303,F02Y,0.021629738
519,0312000303,F03N,0.021629738
520,0312000308,F02E,0.043001687
521,0312000309,F02E,0.028937901
522,0312000312,F02E,0.034977936
523,0313000213,Q02R,0.039939805
524,0313000305,F02Y,0.048738182
525,0313000401,Q02R,0.033110158
526,0313000407,F02S,0.061447635
527,0313000407,F02Y,0.061447635
528,0313000407,F03M,0.061447635
529,0313000501,F02E,0.076944658
530,0313000501,F02S,0.076944658
531,0313000501,F02Y,0.076944658
532,0313000501,F03M,0.076944658
533,0313000502,F02E,0.061933084
534,0313000502,F02S,0.061933084
535,0313000502,F02Y,0.061933084
536,0313000502,F03M,0.061933084
537,0313000504,F02E,0.022548304
538,0313000504,F02S,0.022548304
539,0313000504,F02Y,0.022548304
540,0313000504,F03M,0.022548304
541,0313000505,F02E,0.036311916
542,0313000505,F02S,0.036311916
543,0313000505,F02Y,0.036311916
544,0313000505,F03M,0.036311916
545,0313000507,F02E,0.039542297
546,0313000507,F02S,0.039542297
547,0313000507,F02Y,0.039542297
548,0313000507,F03M,0.039542297
549,0313000509,F02E,0.059675175
550,0313000509,F02S,0.059675175
551,0313000509,F02Y,0.059675175
552,0313000509,F03M,0.059675175
553,0313000511,F02E,0.027849605
554,0313000511,F02S,0.027849605
555,0313000511,F02Y,0.027849605
556,0313000511,F03M,0.027849605
557,0313000514,F02E,0.045290853
558,0313000514,F02S,0.045290853
559,0313000514,F02Y,0.045290853
560,0313000514,F03M,0.045290853
561,0313000516,F02E,0.028995816
562,0313000516,F02S,0.028995816
563,0313000516,F02Y,0.028995816
564,0313000516,F03M,0.028995816
565,0313000601,F02E,0.044481367
566,0313000601,F02S,0.044481367
567,0313000601,F02Y,0.044481367
568,0313000601,F03M,0.044481367
569,0313000603,F02E,0.023478997
570,0313000603,F02S,0.023478997
571,0313000603,F02Y,0.023478997
572,0313000603,F03M,0.023478997
573,0313000604,F02E,0.045762605
574,0313000604,F02S,0.045762605
575,0313000604,F02Y,0.045762605
576,0313000604,F03M,0.045762605
577,0313000605,F02E,0.031329382
578,0313000605,F02S,0.031329382
579,0313000605,F02Y,0.031329382
580,0313000605,F03M,0.031329382
581,0313000606,F02E,0.076368219
582,0313000606,F02S,0.076368219
583,0313000606,F02Y,0.076368219
584,0313000606,F03M,0.076368219
585,0313000607,F02E,0.043052089
586,0313000607,F02S,0.043052089
587,0313000607,F02Y,0.043052089
588,0313000607,F03M,0.043052089
589,0313000608,F02E,0.021193645
590,0313000608,F02S,0.021193645
591,0313000608,F02Y,0.021193645
592,0313000608,F03M,0.021193645
593,0313000609,F02E,0.038673828
594,0313000609,F02S,0.038673828
595,0313000609,F02Y,0.038673828
596,0313000609,F032,0.038673828
597,0313000609,F03M,0.038673828
598,0313000701,F02E,0.039139055
599,0313000701,F02S,0.039139055
600,0313000701,F02Y,0.039139055
601,0313000701,F03M,0.039139055
602,0313000702,F02E,0.025407641
603,0313000702,F02S,0.025407641
604,0313000702,F02Y,0.025407641
605,0313000702,F03M,0.025407641
606,0313000703,F02E,0.024575014
607,0313000703,F02S,0.024575014
608,0313000703,F02Y,0.024575014
609,0313000703,F03M,0.024575014
610,0313000704,F02E,0.018622052
611,0313000704,F02S,0.018622052
612,0313000704,F02Y,0.018622052
613,0313000704,F03M,0.018622052
614,0313000705,F02E,0.018269228
615,0313000705,F02S,0.018269228
616,0313000705,F02Y,0.018269228
617,0313000705,F03M,0.018269228
618,0313000706,F02E,0.036921112
619,0313000706,F02S,0.036921112
620,0313000706,F02Y,0.036921112
621,0313000706,F03M,0.036921112
622,0313000707,F02E,0.034726041
623,0313000707,F02S,0.034726041
624,0313000707,F02Y,0.034726041
625,0313000707,F03M,0.034726041
626,0313000708,F02E,0.037605519
627,0313000708,F02S,0.037605519
628,0313000708,F02Y,0.037605519
629,0313000708,F03M,0.037605519
630,0313000710,F02E,0.020161594
631,0313000710,F02S,0.020161594
632,0313000710,F02Y,0.020161594
633,0313000710,F03M,0.020161594
634,0313000801,F02E,0.054479163
635,0313000801,F02S,0.054479163
636,0313000801,F02Y,0.054479163
637,0313000801,F032,0.054479163
638,0313000801,F03M,0.054479163
639,0313000803,F02E,0.03830943
640,0313000803,F02S,0.03830943
641,0313000803,F02Y,0.03830943
642,0313000803,F032,0.03830943
643,0313000803,F03M,0.03830943
644,0313000804,F02E,0.020787938
645,0313000804,F02S,0.020787938
646,0313000804,F02Y,0.020787938
647,0313000804,F032,0.020787938
648,0313000804,F03M,0.020787938
649,0313000807,F02E,0.043122471
650,0313000807,F02S,0.043122471
651,0313000807,F02Y,0.043122471
652,0313000807,F032,0.043122471
653,0313000807,F03M,0.043122471
654,0313000808,E04W,0.031830161
655,0313000808,F02E,0.031830161
656,0313000808,F032,0.031830161
657,0313000903,F02E,0.032132805
658,0313000903,F02S,0.032132805
659,0313000903,F02Y,0.032132805
660,0313000903,F032,0.032132805
661,0313000903,F03M,0.032132805
662,0313000905,F02E,0.030419531
663,0313000905,F02S,0.030419531
664,0313000905,F02Y,0.030419531
665,0313000905,F032,0.030419531
666,0313000905,F03M,0.030419531
667,0313000906,F02E,0.024252612
668,0313000906,F02S,0.024252612
669,0313000906,F02Y,0.024252612
670,0313000906,F032,0.024252612
671,0313000906,F03M,0.024252612
672,0313000908,F02E,0.04409164
673,0313000908,F02S,0.04409164
674,0313000908,F02Y,0.04409164
675,0313000908,F032,0.04409164
676,0313000908,F03M,0.04409164
677,0313000909,F02E,0.019169205
678,0313000909,F02S,0.019169205
679,0313000909,F02Y,0.019169205
680,0313000909,F032,0.019169205
681,0313000909,F03M,0.019169205
682,0313000910,D042,0.027255314
683,0313000910,F02E,0.027255314
684,0313000910,F02S,0.027255314
685,0313000910,F02Y,0.027255314
686,0313000910,F032,0.027255314
687,0313000910,F03M,0.027255314
688,0313001001,F02E,0.029535078
689,0313001001,F02S,0.029535078
690,0313001001,F02Y,0.029535078
691,0313001001,F032,0.029535078
692,0313001001,F03M,0.029535078
693,0313001002,F02E,0.026512189
694,0313001002,F02S,0.026512189
695,0313001002,F02Y,0.026512189
696,0313001002,F032,0.026512189
697,0313001002,F03M,0.026512189
698,0313001003,F02E,0.011438747
699,0313001003,F02S,0.011438747
700,0313001003,F02Y,0.011438747
701,0313001003,F032,0.011438747
702,0313001003,F03M,0.011438747
703,0313001004,D042,0.026123732
704,0313001004,F02E,0.026123732
705,0313001004,F02S,0.026123732
706,0313001004,F02Y,0.026123732
707,0313001004,F032,0.026123732
708,0313001004,F03M,0.026123732
709,0313001005,F02E,0.022816001
710,0313001005,F02S,0.022816001
711,0313001005,F02Y,0.022816001
712,0313001005,F032,0.022816001
713,0313001005,F03M,0.022816001
714,0313001006,F02E,0.014320558
715,0313001006,F02S,0.014320558
716,0313001006,F02Y,0.014320558
717,0313001006,F032,0.014320558
718,0313001006,F03M,0.014320558
719,0313001008,F02E,0.031509186
720,0313001008,F02S,0.031509186
721,0313001008,F02Y,0.031509186
722,0313001008,F032,0.031509186
723,0313001008,F03M,0.031509186
724,0313001102,E04W,0.020296435
725,0313001102,F02E,0.020296435
726,0313001102,F032,0.020296435
727,0313001103,E04W,0.023738704
728,0313001103,F02E,0.023738704
729,0313001103,F032,0.023738704
730,0313001104,E04W,0.02532326
731,0313001104,F02E,0.02532326
732,0313001104,F032,0.02532326
733,0313001105,E04W,0.024126788
734,0313001105,F02E,0.024126788
735,0313001105,F032,0.024126788
736,0313001106,D013,0.048420652
737,0313001106,D042,0.048420652
738,0313001106,E04W,0.048420652
739,0313001106,F02E,0.048420652
740,0313001106,F02S,0.048420652
741,0313001106,F02Y,0.048420652
742,0313001106,F032,0.048420652
743,0313001106,F03M,0.048420652
744,0313001106,F03O,0.048420652
745,0313001108,D013,0.05303168
746,0313001108,E04W,0.10606336
747,0313001108,F02E,0.05303168
748,0313001108,F032,0.05303168
749,0313001201,F02S,0.051898242
750,0313001201,F02Y,0.051898242
751,0313001201,F032,0.051898242
752,0313001201,F03M,0.051898242
753,0313001201,F03O,0.051898242
754,0313001202,F02S,0.044013426
755,0313001202,F02Y,0.044013426
756,0313001202,F032,0.044013426
757,0313001202,F03M,0.044013426
758,0313001202,F03O,0.044013426
759,0313001203,D042,0.043605909
760,0313001203,F02S,0.043605909
761,0313001203,F02Y,0.043605909
762,0313001203,F032,0.043605909
763,0313001203,F03M,0.043605909
764,0313001203,F03O,0.043605909
765,0313001204,D042,0.062379746
766,0313001204,F02S,0.062379746
767,0313001204,F02Y,0.062379746
768,0313001204,F032,0.062379746
769,0313001204,F03M,0.062379746
770,0313001204,F03O,0.062379746
771,0313001205,F02S,0.053323915
772,0313001205,F02Y,0.053323915
773,0313001205,F032,0.053323915
774,0313001205,F03M,0.053323915
775,0313001205,F03O,0.053323915
776,0313001206,D042,0.059803423
777,0313001206,F02E,0.059803423
778,0313001206,F02S,0.059803423
779,0313001206,F02Y,0.059803423
780,0313001206,F032,0.059803423
781,0313001206,F03M,0.059803423
782,0313001206,F03O,0.059803423
783,0313001302,D013,0.019625253
784,0313001303,D013,0.037775535
785,0313001303,E04W,0.037775535
786,0313001304,B079,0.019112877
787,0313001304,E04W,0.019112877
788,0313001401,B079,0.024708231
789,0313001401,C00U,0.024708231
790,0313001401,E04W,0.024708231
791,0313001402,B079,0.039990439
792,0313001402,C00U,0.039990439
793,0313001402,E04W,0.079980879
794,0314010101,F02S,0.016172177
795,0314010101,F03M,0.016172177
796,0314010102,F02S,0.01454098
797,0314010102,F03M,0.01454098
798,0314010105,F02S,0.033582176
799,0314010105,F03M,0.033582176
800,0314010107,A08B,0.088658889
801,0314010107,A0CB,0.088658889
802,0314010107,B079,0.088658889
803,0314010107,C00U,0.088658889
804,0314010107,E04W,0.088658889
805,0314010110,A08B,0.034507987
806,0314010110,E04W,0.034507987
807,0314010111,A08B,0.022716271
808,0314010111,B079,0.022716271
809,0314010111,E04W,0.022716271
810,0314010201,E04W,0.016660816
811,0314010202,E04W,0.031499654
812,0314010203,E04W,0.01755697
813,0314010204,A08B,0.013779469
814,0314010204,E04W,0.013779469
815,0314010205,E04W,0.025030059
816,0314010206,E04W,0.020544665
817,0314010207,E04W,0.012068095
818,0314010208,E04W,0.060380863
819,0314010301,F01B,0.038749698
820,0314010301,F02T,0.038749698
821,0314010301,F030,0.038749698
822,0314010301,F03V,0.038749698
823,0314010302,F01B,0.030093933
824,0314010302,F02T,0.030093933
825,0314010302,F030,0.030093933
826,0314010302,F03V,0.030093933
827,0314010303,E04W,0.039528819
828,0314010303,F01B,0.039528819
